,Created At,positivi,negativi,neutrali
44841,2021-03-08 10:12:43,0,0,1
44842,2021-03-08 10:12:43,0,0,1
44843,2021-03-08 10:12:43,0,0,1
44844,2021-03-08 10:12:43,0,0,1
44845,2021-03-08 10:12:42,0,0,1
44846,2021-03-08 10:12:40,0,1,0
44847,2021-03-08 10:12:39,0,0,1
44848,2021-03-08 10:12:39,1,0,0
44849,2021-03-08 10:12:38,0,0,1
44850,2021-03-08 10:12:38,0,0,1
44851,2021-03-08 10:12:38,0,0,1
44852,2021-03-08 10:12:38,0,0,1
44853,2021-03-08 10:12:36,1,0,0
44854,2021-03-08 10:12:36,0,1,0
44855,2021-03-08 10:12:33,0,0,1
44856,2021-03-08 10:12:30,0,0,1
44857,2021-03-08 10:12:30,0,0,1
44858,2021-03-08 10:12:29,0,0,1
44859,2021-03-08 10:12:27,1,0,0
44860,2021-03-08 10:12:26,0,0,1
44861,2021-03-08 10:12:26,0,0,1
44862,2021-03-08 10:12:23,0,1,0
44863,2021-03-08 10:12:22,0,0,1
44864,2021-03-08 10:12:21,0,0,1
44865,2021-03-08 10:12:19,1,0,0
44866,2021-03-08 10:12:19,0,1,0
44867,2021-03-08 10:12:19,0,0,1
44868,2021-03-08 10:12:16,0,1,0
44869,2021-03-08 10:12:15,0,0,1
44870,2021-03-08 10:12:15,0,0,1
44871,2021-03-08 10:12:13,0,0,1
44872,2021-03-08 10:12:13,0,1,0
44873,2021-03-08 10:12:12,0,0,1
44874,2021-03-08 10:12:11,0,1,0
44875,2021-03-08 10:12:11,0,1,0
44876,2021-03-08 10:12:11,0,0,1
44877,2021-03-08 10:12:11,0,0,1
44878,2021-03-08 10:12:10,0,0,1
44879,2021-03-08 10:12:10,0,1,0
44880,2021-03-08 10:12:10,1,0,0
44881,2021-03-08 10:12:10,0,0,1
44882,2021-03-08 10:12:09,0,0,1
44883,2021-03-08 10:12:09,0,0,1
44884,2021-03-08 10:12:08,0,1,0
44885,2021-03-08 10:12:07,0,0,1
44886,2021-03-08 10:12:07,0,1,0
44887,2021-03-08 10:12:06,0,0,1
44888,2021-03-08 10:12:05,0,0,1
44889,2021-03-08 10:12:04,0,1,0
44890,2021-03-08 10:12:04,0,0,1
44891,2021-03-08 10:12:04,0,0,1
44892,2021-03-08 10:12:04,0,1,0
44893,2021-03-08 10:12:03,0,0,1
44894,2021-03-08 10:12:02,0,0,1
44895,2021-03-08 10:12:00,0,0,1
44896,2021-03-08 10:11:59,0,0,1
44897,2021-03-08 10:11:55,0,1,0
44898,2021-03-08 10:11:55,1,0,0
44899,2021-03-08 10:11:54,0,0,1
44900,2021-03-08 10:11:53,0,1,0
44901,2021-03-08 10:11:53,0,0,1
44902,2021-03-08 10:11:51,0,0,1
44903,2021-03-08 10:11:49,0,0,1
44904,2021-03-08 10:11:49,0,1,0
44905,2021-03-08 10:11:49,1,0,0
44906,2021-03-08 10:11:48,0,0,1
44907,2021-03-08 10:11:46,0,0,1
44908,2021-03-08 10:11:44,0,1,0
44909,2021-03-08 10:11:43,0,0,1
44910,2021-03-08 10:11:41,0,1,0
44911,2021-03-08 10:11:41,0,0,1
44912,2021-03-08 10:11:41,0,0,1
44913,2021-03-08 10:11:38,0,0,1
